contract_id,customer_id,customer_segment,region,product,pricing_model,contract_start_date,contract_end_date,contract_tcv,base_mrr,seats_contracted,price_per_seat,usage_base_fee,overage_rate_per_unit,usage_tier_included,free_trial_months,has_impl_fee,impl_fee_amount,is_multi_element,bundle_contract_id,payment_terms,sales_commission_pct_new,sales_commission_pct_upgrade,ssp_amount,cohort_month,is_committed_term,expected_customer_life_months,renewal_type,modification_type,asc606_modification_treatment,modified_from_contract_id,termination_date,termination_type,termination_penalty_amount
CTR-0001,CUST-0001,SMB,EMEA,Core,per_seat_annual,2023-01-01,,102108.6,5672.7,99.0,57.3,,,,0,False,0.0,False,,monthly,0.1,0.05,5672.7,2023-01,False,18,,,,,,,
CTR-0002,CUST-0002,Mid-Market,North America,Core,per_seat_annual,2023-04-01,2024-04-01,120174.6,10014.55,91.0,110.05,,,,0,False,0.0,False,,annual_upfront,0.12,0.05,10014.55,2023-04,True,24,renewed,,,,,,
CTR-0003,CUST-0003,Enterprise,North America,Core,per_seat_annual,2024-03-01,2025-03-01,20944.44,1745.37,9.0,193.93,,,,0,False,0.0,False,,annual_quarterly,0.15,0.05,1745.37,2024-03,True,36,churned_at_renewal,,,,,,
CTR-0004,CUST-0004,SMB,North America,Core,per_seat_annual,2023-01-01,2024-01-01,52932.48,4411.04,76.0,58.04,,,,0,True,16947.34,False,,annual_upfront,0.1,0.05,4411.04,2023-01,True,18,renewed,,,,,,
CTR-0005,CUST-0005,Mid-Market,EMEA,Core,per_seat_annual,2023-08-01,,172593.12,7191.38,62.0,115.99,,,,0,True,20616.9,False,,monthly,0.12,0.05,7191.38,2023-08,False,24,,,,,,,
CTR-0006,CUST-0006,Enterprise,North America,Core,per_seat_annual,2023-06-01,2024-06-01,183243.6,15270.3,94.0,162.45,,,,0,True,8391.04,False,,annual_upfront,0.15,0.05,15270.3,2023-06,True,36,renewed,,,,,,
CTR-0007,CUST-0007,SMB,LATAM,Core,per_seat_annual,2023-12-01,2024-12-01,15016.32,1251.36,18.0,69.52,,,,0,True,4224.48,False,,annual_upfront,0.1,0.05,1251.36,2023-12,True,18,,,,,2024-08-01,early_with_penalty,2762.32
CTR-0008,CUST-0008,Mid-Market,APAC,Core,per_seat_annual,2023-05-01,,137147.04,5714.46,53.0,107.82,,,,0,False,0.0,False,,monthly,0.12,0.05,5714.46,2023-05,False,24,,,,,2023-12-01,early_with_refund,0.0
CTR-0009,CUST-0009,Enterprise,APAC,Core,per_seat_annual,2024-01-01,2025-01-01,148028.4,12335.7,78.0,158.15,,,,0,False,0.0,False,,annual_quarterly,0.15,0.05,12335.7,2024-01,True,36,,,,,2024-05-01,early_no_penalty,0.0
CTR-0010,CUST-0010,SMB,EMEA,Core,per_seat_annual,2023-10-01,2024-10-01,14729.4,1227.45,15.0,81.83,,,,0,False,0.0,False,,annual_quarterly,0.1,0.05,1227.45,2023-10,True,18,renewed,,,,,,
CTR-0011,CUST-0011,Mid-Market,APAC,Core,per_seat_annual,2024-01-01,2025-01-01,58584.0,4882.0,40.0,122.05,,,,0,False,0.0,False,,annual_upfront,0.12,0.05,4882.0,2024-01,True,24,,,,,,,
CTR-0012,CUST-0012,Enterprise,APAC,Core,per_seat_annual,2023-06-01,,337540.32,9376.12,52.0,180.31,,,,0,False,0.0,False,,monthly,0.15,0.05,9376.12,2023-06,False,36,,,,,,,
CTR-0013,CUST-0013,SMB,APAC,Analytics,flat_monthly,2023-03-01,,10178.64,565.48,,,,,,0,False,0.0,False,,monthly,0.1,0.05,565.48,2023-03,False,18,,,,,,,
CTR-0014,CUST-0014,Mid-Market,APAC,Analytics,flat_monthly,2023-06-01,2024-06-01,14965.92,1247.16,,,,,,0,False,0.0,False,,annual_upfront,0.12,0.05,1247.16,2023-06,True,24,churned_at_renewal,,,,,,
CTR-0015,CUST-0015,Enterprise,North America,Analytics,flat_monthly,2023-11-01,2024-11-01,53399.76,4449.98,,,,,,0,False,0.0,False,,annual_upfront,0.15,0.05,4449.98,2023-11,True,36,renewed,,,,,,
